FBtr0207981	FBgn0179857
FBtr0207980	FBgn0179856
FBtr0207979	FBgn0179855
FBtr0207982	FBgn0179858
FBtr0207978	FBgn0179854
FBtr0207977	FBgn0179853
FBtr0207976	FBgn0179852
FBtr0207975	FBgn0179851
FBtr0207983	FBgn0179859
FBtr0207985	FBgn0179861
FBtr0207986	FBgn0179862
FBtr0207987	FBgn0179863
FBtr0207973	FBgn0179849
FBtr0207974	FBgn0179850
FBtr0207972	FBgn0179848
FBtr0207971	FBgn0179847
FBtr0207970	FBgn0179846
FBtr0207969	FBgn0179845
FBtr0207988	FBgn0179864
FBtr0207989	FBgn0179865
FBtr0207968	FBgn0179844
FBtr0207990	FBgn0179866
FBtr0207967	FBgn0179843
FBtr0202377	FBgn0174292
FBtr0207966	FBgn0179842
FBtr0207965	FBgn0179841
FBtr0207991	FBgn0179867
FBtr0207992	FBgn0179868
FBtr0207993	FBgn0179869
FBtr0207964	FBgn0179840
FBtr0207963	FBgn0179839
FBtr0207994	FBgn0179870
FBtr0207962	FBgn0179838
FBtr0207995	FBgn0179871
FBtr0207961	FBgn0179837
FBtr0207996	FBgn0179872
FBtr0207960	FBgn0179836
FBtr0207997	FBgn0179873
FBtr0207998	FBgn0179874
FBtr0207959	FBgn0179835
FBtr0207999	FBgn0179875
FBtr0208000	FBgn0179876
FBtr0208001	FBgn0179877
FBtr0208004	FBgn0179880
FBtr0207958	FBgn0179834
FBtr0208005	FBgn0179881
FBtr0208006	FBgn0179882
FBtr0207957	FBgn0179833
FBtr0207956	FBgn0179832
FBtr0207955	FBgn0179831
FBtr0208007	FBgn0179883
FBtr0207954	FBgn0179830
FBtr0208008	FBgn0179884
FBtr0207953	FBgn0179829
FBtr0207951	FBgn0179827
FBtr0207950	FBgn0179826
FBtr0207949	FBgn0179825
FBtr0207948	FBgn0179824
FBtr0208009	FBgn0179885
FBtr0207947	FBgn0179823
FBtr0208010	FBgn0179886
FBtr0208011	FBgn0179887
FBtr0207946	FBgn0179822
FBtr0207945	FBgn0179821
FBtr0208012	FBgn0179888
FBtr0207944	FBgn0179820
FBtr0208013	FBgn0179889
FBtr0207943	FBgn0179819
FBtr0208015	FBgn0179891
FBtr0208016	FBgn0179892
FBtr0207942	FBgn0179818
FBtr0208017	FBgn0179893
FBtr0208019	FBgn0179895
FBtr0208020	FBgn0179896
FBtr0208021	FBgn0179897
FBtr0208022	FBgn0179898
FBtr0207940	FBgn0179816
