"dmel_gene","logFC.cis","logCPM.cis","F.cis","PValue.cis","FDR.cis","logFC.trans","logCPM.trans","F.trans","PValue.trans","FDR.trans","logFC.total","logCPM.total","F.total","PValue.total","FDR.total","Category","Category.factor","Cat.main.factor","Cat.main","sub.cat"
"128up",-0.508590828056202,7.48532606150195,15.8029914264764,0.000328684179626539,0.00141527875958776,0.452204143412314,7.48532606150195,6.29797117513249,0.0167838113935675,0.113006448258316,-0.0563866846438885,7.48532606150195,0.196870596076222,0.65994569855936,0.724380423269596,"Ambiguous_cis.but.no.total",1.1,1,"Cis related","Cis*"
"14-3-3epsilon",0.191856678449827,7.67060487280181,4.37260560954673,0.0437269672876063,0.0955010649649323,0.0221408806646775,7.67060487280181,0.029227248500025,0.865224030340973,0.945943616006304,0.213997559114505,7.67060487280181,5.47233787668618,0.0250560454793138,0.0459761779862298,"Ambiguous_total.but.no.cis.or.trans",6,6,"Ambiguous","Ambiguous"
"14-3-3zeta",-0.242165594640674,7.34208496868965,4.98883948717346,0.0318932421183617,0.0732336044760349,0.302987030611774,7.34208496868965,3.92497065693394,0.0553445465643581,0.214179946945713,0.0608214359710999,7.34208496868965,0.317871262656362,0.576426794855211,0.649787827503527,"Conserved",7,7,"Conserved","Conserved"
"312",0.276107829368135,3.814621639966,2.1373980791477,0.15252343372263,0.261973364040009,-0.275447662961722,3.814621639966,1.13611180209579,0.293655944624862,0.54563599735999,0.000660166406413491,3.814621639966,1.40350318795472e-05,0.997031792390674,0.997835040561784,"Conserved",7,7,"Conserved","Conserved"
"4E-T",-0.286263585670304,4.86074579250042,7.0134901042438,0.0119826160577388,0.0321499023708987,0.161398801530107,4.86074579250042,1.14483228483445,0.291839412844766,0.54422071916958,-0.124864784140197,4.86074579250042,1.4070103602665,0.243414947534334,0.319981183676748,"Ambiguous_cis.but.no.total",1.1,1,"Cis related","Cis*"
"AANATL2",1.81320009169491,4.71521531472578,10.6750563482722,0.00251096964885893,0.00833894824233851,-1.94923133930245,4.71521531472578,6.52782261561987,0.0153400285092028,0.107830410381107,-0.136031247607548,4.71521531472578,0.0663751487481053,0.798265560249111,0.844312807338832,"Ambiguous_cis.but.no.total",1.1,1,"Cis related","Cis*"
"AANATL4",-0.745185850267605,4.46055575440099,5.0814248012606,0.0305789120385612,0.0706728436835398,-0.124790732470664,4.46055575440099,0.0714027661618927,0.790881110580378,0.907595436137159,-0.86997658273827,4.46055575440099,6.69209541108911,0.0140225184099607,0.0276061386604972,"Ambiguous_total.but.no.cis.or.trans",6,6,"Ambiguous","Ambiguous"
"Aatf",-1.97191548530523,5.84958922639215,87.5947162315596,3.96949956251923e-11,9.86222166307902e-10,0.0879659311335312,5.84958922639215,0.0942509483111112,0.760630812593092,0.889192927006756,-1.8839495541717,5.84958922639215,83.5511386097932,7.23442854475688e-11,1.1671388129512e-09,"Cis only",1,1,"Cis related","Cis only"
"aay",0.104992492276512,8.61460768758032,0.0815508536867508,0.776917731158378,0.861719688867407,-0.0566351437164231,8.61460768758032,0.0119167671750267,0.913706241436185,0.96939763768863,0.0483573485600884,8.61460768758032,0.0174436475651246,0.895694292113397,0.922617109766059,"Conserved",7,7,"Conserved","Conserved"
"ABCA",-0.2629198847321,2.82024347519686,1.1273595594645,0.29549409786524,0.439613824039635,-0.26164597202169,2.82024347519686,0.606270878507805,0.441343748201185,0.678328823016296,-0.524565856753791,2.82024347519686,5.35540041049424,0.0265490789719212,0.0482348714484374,"Ambiguous_total.but.no.cis.or.trans",6,6,"Ambiguous","Ambiguous"
