"dmel_gene","logFC.cis","logCPM.cis","F.cis","PValue.cis","FDR.cis","logFC.trans","logCPM.trans","F.trans","PValue.trans","FDR.trans","logFC.total","logCPM.total","F.total","PValue.total","FDR.total","Category","Category.factor","Cat.main.factor","Cat.main","sub.cat"
"128up",0.0777023567039372,7.48532606150195,0.185813256247699,0.669025017408322,0.999954519800281,0.125710603213647,7.48532606150195,0.243828062596397,0.624489785084831,0.953018790874949,0.203412959917584,7.48532606150195,1.28072510304964,0.265335023914269,0.624299604032221,"Conserved",7,7,"Conserved","Conserved"
"14-3-3epsilon",-0.095793275848722,7.67060487280181,0.545513875003447,0.465001488473704,0.999954519800281,-0.153051614748356,7.67060487280181,0.698452616499915,0.408882138509301,0.895329941906481,-0.248844890597078,7.67060487280181,3.70309630064332,0.0623391962948145,0.344948180834002,"Conserved",7,7,"Conserved","Conserved"
"14-3-3zeta",0.0981935009888815,7.34208496868965,0.411229000499048,0.525456397655569,0.999954519800281,-0.155530901666994,7.34208496868965,0.517834730002686,0.476467797014209,0.925223687300055,-0.0573374006781121,7.34208496868965,0.141297238137888,0.709227010051371,0.913228559975451,"Conserved",7,7,"Conserved","Conserved"
"312",-0.251488133912697,3.814621639966,0.913656957558698,0.345596463304185,0.999954519800281,0.437243541511389,3.814621639966,1.45722673610111,0.235336937201498,0.828310253774162,0.185755407598692,3.814621639966,0.556727371848865,0.460484075857855,0.782271922371857,"Conserved",7,7,"Conserved","Conserved"
"4E-T",0.124171324997633,4.86074579250042,0.657228782474054,0.422930302114672,0.999954519800281,-0.0976680868855417,4.86074579250042,0.209440441204168,0.64998915632192,0.958829516592606,0.0265032381120915,4.86074579250042,0.0318471599780838,0.859375885011109,0.969157802857799,"Conserved",7,7,"Conserved","Conserved"
"AANATL2",0.524182562063741,4.71521531472578,0.436985319047361,0.513101817517315,0.999954519800281,0.768503067604082,4.71521531472578,0.481976701531921,0.492314855258041,0.926974377206098,1.29268562966782,4.71521531472578,2.82659874165817,0.102015734755972,0.431418030640361,"Conserved",7,7,"Conserved","Conserved"
"AANATL4",0.273506724428237,4.46055575440099,0.34324548050724,0.561739360648421,0.999954519800281,0.952335744541981,4.46055575440099,1.99539247694351,0.166651903720576,0.804755402903347,1.22584246897022,4.46055575440099,6.30425534628886,0.0168400278465848,0.199392446087854,"Conserved",7,7,"Conserved","Conserved"
"Aatf",0.0126026553469681,5.84958922639215,0.00197293908770029,0.964819771371445,0.999954519800281,0.644780365658727,5.84958922639215,2.54816069931169,0.119268688729963,0.773689444254812,0.657383021005695,5.84958922639215,5.3964238525774,0.0260145577528308,0.231947597911107,"Conserved",7,7,"Conserved","Conserved"
"aay",0.378091822557161,8.61460768758032,0.525790794582604,0.473281778354307,0.999954519800281,-1.52387979143156,8.61460768758032,4.29070396438632,0.0458812888242144,0.69773012639811,-1.14578796887439,8.61460768758032,4.86799408628535,0.0341278937732324,0.261699852097519,"Conserved",7,7,"Conserved","Conserved"
"ABCA",0.215130274865918,2.82024347519686,0.369875844373191,0.546935325854753,0.999954519800281,0.25728924742497,2.82024347519686,0.292474294455796,0.592009569768814,0.948943669588532,0.472419522290887,2.82024347519686,2.20841599427643,0.146068416441953,0.501324247578244,"Conserved",7,7,"Conserved","Conserved"
"ABCB7",0.0735390034614151,5.76271139781883,0.149964427546898,0.700876411067855,0.999954519800281,-0.098593401948767,5.76271139781883,0.138090493932444,0.712390864094821,0.972273846244908,-0.0250543984873519,5.76271139781883,0.0183136332635701,0.893115446480054,0.980009254134901,"Conserved",7,7,"Conserved","Conserved"
"ABCD",0.0963287739288853,5.99388296972996,0.280115535696898,0.599912676227222,0.999954519800281,-0.504274142743897,5.99388296972996,3.88256857439507,0.0566109696749461,0.710528732138318,-0.407945368815011,5.99388296972996,5.13774458352415,0.0295926541964546,0.246721306547287,"Conserved",7,7,"Conserved","Conserved"
"Abp1",-0.11165402100661,3.62394124771904,0.0685793420563588,0.794926921673614,0.999954519800281,-0.360359248768871,3.62394124771904,0.367003961490413,0.548487754131729,0.938210507699435,-0.472013269775481,3.62394124771904,1.30152611633499,0.261556434752312,0.619252680196951,"Conserved",7,7,"Conserved","Conserved"
"Ac76E",-0.139954334846417,3.10516707829359,0.108128475970811,0.74421288768981,0.999954519800281,0.251042134985093,3.10516707829359,0.202199239982042,0.655679362080539,0.958829516592606,0.111087800138676,3.10516707829359,0.0945185093291817,0.760302122106301,0.931880349997083,"Conserved",7,7,"Conserved","Conserved"
"Ac78C",-0.183469875130071,1.49840451005699,0.0554358267069612,0.815211020565129,0.999954519800281,0.628572914227765,1.49840451005699,0.34389351254522,0.561293118193511,0.941888259119321,0.445103039097695,1.49840451005699,0.366962054639447,0.548510469043445,0.829103166339819,"Conserved",7,7,"Conserved","Conserved"
"Acbp1",-0.0771895374921523,4.83883772033465,0.10092931536452,0.752574491950681,0.999954519800281,0.0122383077729315,4.83883772033465,0.00132794616065462,0.971134436565869,0.999993950640086,-0.0649512297192208,4.83883772033465,0.0724763233719967,0.789320053046833,0.941010399133809,"Conserved",7,7,"Conserved","Conserved"
"Acbp2",-0.0193429277595343,8.66416521064309,0.004819826249478,0.945040121461688,0.999954519800281,-0.96408964131256,8.66416521064309,5.99745319599769,0.0193890640071445,0.580856208144826,-0.983432569072095,8.66416521064309,12.4619742594104,0.00116889052342752,0.0580821701091134,"Conserved",7,7,"Conserved","Conserved"
"ACC",0.020893334385487,10.9031563961354,0.00216350965784237,0.96316781250858,0.999954519800281,-0.770057941978783,10.9031563961354,1.46949989559274,0.233620308758279,0.828310253774162,-0.749164607593296,10.9031563961354,2.77902773076118,0.104515279012366,0.437520152832728,"Conserved",7,7,"Conserved","Conserved"
"AcCoAS",0.0865293170966022,10.6642495713512,0.0917537558875161,0.763723516422531,0.999954519800281,-0.468516363317557,10.6642495713512,1.34572070043415,0.253753693175486,0.837623928930504,-0.381987046220955,10.6642495713512,1.78974297422721,0.189446913710604,0.542419215945451,"Conserved",7,7,"Conserved","Conserved"
"Acf",0.161490302085949,3.8868849858269,0.359675943257137,0.5524871202841,0.999954519800281,0.278483734095718,3.8868849858269,0.560622011658471,0.458931717685096,0.918453954871133,0.439974036181667,3.8868849858269,2.94398608565576,0.0948957028503731,0.416184243127541,"Conserved",7,7,"Conserved","Conserved"
"Ack",-0.310953708840909,4.62188406728956,2.22909675091222,0.144249267918694,0.999954519800281,0.294750941678088,4.62188406728956,1.02865394389609,0.317323394354657,0.87512247745677,-0.0162027671628208,4.62188406728956,0.0064194834275081,0.936589500350756,0.994296451256151,"Conserved",7,7,"Conserved","Conserved"
"Acox57D-d",0.322105565443468,7.30336299249249,0.667631689642195,0.419378665480966,0.999954519800281,-0.447508014740485,7.30336299249249,0.652660204903215,0.424593276049896,0.902517706565493,-0.125402449297017,7.30336299249249,0.103838627197261,0.749178378811513,0.927674039867011,"Conserved",7,7,"Conserved","Conserved"
