"dmel_gene","logFC.cis","logCPM.cis","F.cis","PValue.cis","FDR.cis","logFC.trans","logCPM.trans","F.trans","PValue.trans","FDR.trans","logFC.total","logCPM.total","F.total","PValue.total","FDR.total","Category","Category.factor","Cat.main.factor","Cat.main","sub.cat"
"128up",-0.344708049575669,7.6328433849465,4.67146827891704,0.0437929707625153,0.123138550518267,0.267809459256809,7.6328433849465,1.41675933177183,0.248760574543885,0.560774372102133,-0.0768985903188593,7.6328433849465,0.234371080501218,0.633896569877416,0.720337011224337,"Conserved",7,7,"Conserved","Conserved"
"14-3-3epsilon",0.0811434717496208,10.4134410016104,0.386393723684918,0.541670912631762,0.726497346588494,-1.02429821355155,10.4134410016104,30.6286651501181,2.54455911175535e-05,0.000610115877932249,-0.943154741801931,10.4134410016104,51.3045836755752,8.87525082640357e-07,8.86684623281796e-06,"Trans only",2,2,"Trans related","Trans only"
"14-3-3zeta",-0.150865719372434,8.26577729086527,1.44096599586539,0.244900228418291,0.442218603099302,0.180155343345408,8.26577729086527,1.02930467533756,0.323209963348203,0.63522077371899,0.0292896239729742,8.26577729086527,0.0545079137604636,0.817921876363015,0.865504091838496,"Conserved",7,7,"Conserved","Conserved"
"312",-0.585657181645026,4.26725117393748,5.76338423033866,0.0268915779448189,0.0847389926277894,0.249124177518319,4.26725117393748,0.530072904356565,0.475553013553244,0.76131779863228,-0.336533004126708,4.26725117393748,1.95504942693602,0.178332512061569,0.267854214443273,"Conserved",7,7,"Conserved","Conserved"
"4E-T",-0.116031804383075,5.89642798520681,1.05263945763009,0.317928935559021,0.523439214049691,0.184692229670184,5.89642798520681,1.3402069791162,0.26150331466027,0.574044937508499,0.0686604252871087,5.89642798520681,0.372317869502256,0.549053587215789,0.647235280769946,"Conserved",7,7,"Conserved","Conserved"
"AANATL2",2.25883061723273,9.90430778548785,74.6043112762484,5.76198956489532e-08,1.60817433623401e-06,-4.17031673342102,9.90430778548785,128.342064233959,7.7496197129568e-10,3.14455722968055e-07,-1.91148611618829,9.90430778548785,54.3859131668776,5.88491642296685e-07,6.33529267982656e-06,"CisxTrans",3,3,"CisxTrans","CisxTrans"
"AANATL4",-0.184150703306671,2.29037420678173,0.0148445401680081,0.904345029599941,0.959259192256045,0.206744246355152,2.29037420678173,0.011311485302772,0.916448745793194,0.981575367265366,0.0225935430484808,2.29037420678173,0.000332995323111332,0.985636869078915,0.989953252930555,"Conserved",7,7,"Conserved","Conserved"
"Aatf",-1.33371403866579,6.44259473185861,93.1750698990813,1.02985391761932e-08,3.74653752789098e-07,0.624117826691494,6.44259473185861,10.6010932362956,0.00420402669630887,0.0353124853869893,-0.7095962119743,6.44259473185861,27.4607109526905,4.82983510449054e-05,0.000272194232651577,"CisxTrans",3,3,"CisxTrans","CisxTrans"
"aay",0.456917836387102,7.35627931324733,2.03355025552528,0.170265697145756,0.343855877658448,-0.310963950645326,7.35627931324733,0.477607128603369,0.497958970971892,0.777831715476959,0.145953885741776,7.35627931324733,0.21262619342201,0.650010116714591,0.734517968744706,"Conserved",7,7,"Conserved","Conserved"
"ABCA",0.432602355823213,6.01141865753614,2.46636377423981,0.13299530711436,0.28658098244618,0.936733414988581,6.01141865753614,5.85958005661538,0.0257997761704254,0.13073373611815,1.36933577081179,6.01141865753614,24.68460777073,8.80607215458084e-05,0.000451868002095466,"Ambiguous_total.but.no.cis.or.trans",6,6,"Ambiguous","Ambiguous"
"ABCB7",0.840372098838208,6.34355386478028,40.3328057814361,4.52968419730761e-06,6.65884122657754e-05,-0.00213337070883357,6.34355386478028,0.000137190218587207,0.990778213434799,0.999959978563167,0.838238728129375,6.34355386478028,40.8327777483212,4.17804566518082e-06,3.40636644263196e-05,"Cis only",1,1,"Cis related","Cis only"
"ABCD",0.137586856262683,6.61402496917499,1.18180731744089,0.290738836655614,0.494274278256235,-0.420706168826881,6.61402496917499,5.53371677859434,0.0297166838858081,0.145548289227147,-0.283119312564198,6.61402496917499,5.01899295188127,0.0373619633438826,0.0743153682650758,"Conserved",7,7,"Conserved","Conserved"
"Abp1",-0.279734059407493,4.55117469466961,3.11586843730626,0.0937818628578307,0.220847913649579,-0.0742587592317313,4.55117469466961,0.11117695583843,0.742500520028807,0.91095932194593,-0.353992818639224,4.55117469466961,5.09344787809921,0.0361286042132952,0.0721887830398228,"Conserved",7,7,"Conserved","Conserved"
