"dmel_gene","logFC.cis","logCPM.cis","F.cis","PValue.cis","FDR.cis","logFC.trans","logCPM.trans","F.trans","PValue.trans","FDR.trans","logFC.total","logCPM.total","F.total","PValue.total","FDR.total","Category","Category.factor","Cat.main.factor","Cat.main","sub.cat"
"128up",0.0555903538608309,7.6328433849465,0.0607297240407161,0.808018665549204,0.999912223430608,0.190029141859525,7.6328433849465,0.356132905530657,0.55778516069471,0.795866032638517,0.245619495720356,7.6328433849465,1.19383044323703,0.288370948325213,0.464050260041337,"Conserved",7,7,"Conserved","Conserved"
"14-3-3epsilon",0.122160499245997,10.4134410016104,0.437954819197471,0.51614651695439,0.999912223430608,0.804130487151369,10.4134410016104,9.48314840632587,0.00622967786251525,0.0766003513397854,0.926290986397365,10.4134410016104,25.0831173215576,8.05890904477972e-05,0.00136767511133454,"Ambiguous_total.but.no.cis.or.trans",6,6,"Ambiguous","Ambiguous"
"14-3-3zeta",-0.0444250582044653,8.26577729086527,0.0624486605957203,0.805378750939889,0.999912223430608,0.33815698422348,8.26577729086527,1.81316498150039,0.194149904271636,0.506484631229351,0.293731926019015,8.26577729086527,2.74171705954944,0.114366803373363,0.258007898294154,"Conserved",7,7,"Conserved","Conserved"
"312",-0.0696971589034159,4.26725117393748,0.0405481302637307,0.842576721004207,0.999912223430608,0.306474406572282,4.26725117393748,0.398376161775376,0.535532957485863,0.785140731166739,0.236777247668866,4.26725117393748,0.484298588282747,0.495000990353224,0.653926928152582,"Conserved",7,7,"Conserved","Conserved"
"4E-T",0.146964083042028,5.89642798520681,0.837345347150989,0.371752651800287,0.999912223430608,0.0127332513522897,5.89642798520681,0.00317667047944508,0.955648539329108,0.999956004160977,0.159697334394318,5.89642798520681,1.00795229903506,0.328149828874959,0.502821690884019,"Conserved",7,7,"Conserved","Conserved"
"AANATL2",0.597299993483959,9.90430778548785,2.85014088867573,0.107895570441868,0.999912223430608,4.34611987581826,9.90430778548785,73.7136085098875,6.31154852816968e-08,7.16455286306418e-05,4.94341986930221,9.90430778548785,175.042815038544,5.72632735934205e-11,1.00687922735098e-07,"Trans only",2,2,"Trans related","Trans only"
"AANATL4",-0.104400202480958,2.29037420678173,0.00243774994256181,0.961152411945548,0.999912223430608,-3.97201007736162,2.29037420678173,1.85927695427058,0.189123408683506,0.497569067733412,-4.07641027984257,2.29037420678173,3.90820212808386,0.0631983218784053,0.171719879425768,"Conserved",7,7,"Conserved","Conserved"
"Aatf",-0.164734262660439,6.44259473185861,0.726951623140507,0.404611427829084,0.999912223430608,-0.419548923513297,6.44259473185861,2.38327910566738,0.139316427518588,0.435308199457857,-0.584283186173737,6.44259473185861,9.34484159858687,0.00654872644041658,0.0346484774054137,"Ambiguous_total.but.no.cis.or.trans",6,6,"Ambiguous","Ambiguous"
"aay",0.015063930485251,7.35627931324733,0.00110433363876215,0.973840470971505,0.999912223430608,-1.58208925625739,7.35627931324733,6.12143600860157,0.0230734058417103,0.167878918365548,-1.56702532577214,7.35627931324733,12.0722821932055,0.00257142167611749,0.0178712112536492,"Ambiguous_total.but.no.trans.no.cis.yet.large.transFC",2.2,2,"Trans related","Trans**"
"ABCA",-0.125381312501706,6.01141865753614,0.103625528538985,0.751075587901952,0.999912223430608,-0.767508711431081,6.01141865753614,1.97145257867672,0.176608601475048,0.484815586183016,-0.892890023932787,6.01141865753614,5.41107660503277,0.031362375998302,0.106527065931129,"Conserved",7,7,"Conserved","Conserved"
"ABCB7",-0.0899978962664171,6.34355386478028,0.233425875921985,0.63457731235132,0.999912223430608,-0.0946571520877007,6.34355386478028,0.130532411781602,0.72191155727725,0.892449839380711,-0.184655048354118,6.34355386478028,1.0050440119914,0.328830798828006,0.503653444778667,"Conserved",7,7,"Conserved","Conserved"
"ABCD",0.197969444218641,6.61402496917499,1.21992853210625,0.28331957882168,0.999912223430608,0.560729153885887,6.61402496917499,4.9155085227126,0.0391567716180428,0.232080865488962,0.758698598104528,6.61402496917499,18.0383924863849,0.000445468951803084,0.0048251513773332,"Ambiguous_total.but.no.cis.or.trans",6,6,"Ambiguous","Ambiguous"
"Abp1",-0.107897582521795,4.55117469466961,0.229799155028998,0.637205303731708,0.999912223430608,0.339812125354656,4.55117469466961,1.1588815633752,0.295327168668232,0.608297858151084,0.231914542832861,4.55117469466961,1.09813034831937,0.307971131324587,0.484557811152479,"Conserved",7,7,"Conserved","Conserved"
"Ac76E",-0.664345652033777,2.61932810688333,0.504895318932161,0.486084647109884,0.999912223430608,-1.76941968849746,2.61932810688333,1.92967530515371,0.18104041772825,0.488485014586456,-2.43376534053124,2.61932810688333,8.00555378383177,0.0107943642726237,0.0495563720958138,"Ambiguous_total.but.no.trans.no.cis.yet.large.transFC",2.2,2,"Trans related","Trans**"
"Ac78C",0.0342437962515225,9.34094198328239,0.00284006265658037,0.958074216373739,0.999912223430608,3.17366467727203,9.34094198328239,11.9891725583919,0.00271166181084977,0.0434772524383968,3.20790847352355,9.34094198328239,23.559600304509,0.000120640268576843,0.00181494602757865,"Trans only",2,2,"Trans related","Trans only"
"Acbp1",-0.14329016351253,5.21770007442625,0.151805165958696,0.70119752290774,0.999912223430608,1.18046745355156,5.21770007442625,5.18579130984264,0.0346628460394038,0.216506295295754,1.03717729003903,5.21770007442625,8.04393288031888,0.0106363184463731,0.0489586211209582,"Ambiguous_total.but.no.trans.no.cis.yet.large.transFC",2.2,2,"Trans related","Trans**"
"Acbp2",0.225194435998911,5.25759679626513,0.0402046438736784,0.843382439326057,0.999912223430608,-1.85993272603749,5.25759679626513,1.51303913052143,0.234883617638307,0.555610351139942,-1.63473829003857,5.25759679626513,2.55406967035068,0.127828746032273,0.277517629567704,"Conserved",7,7,"Conserved","Conserved"
"ACC",0.0458441193118308,8.9990842123622,0.0031204758173877,0.9560729546059,0.999912223430608,-2.26037873316759,8.9990842123622,3.79738489551134,0.0672303235887322,0.309624494556081,-2.21453461385576,8.9990842123622,7.22097024067856,0.0151319275307944,0.0629999350630943,"Conserved",7,7,"Conserved","Conserved"
"AcCoAS",-0.248371518674158,7.8705047283333,0.0586992981562559,0.811399940109487,0.999912223430608,-1.5252388668242,7.8705047283333,1.12865784651439,0.302603501171982,0.613199575126901,-1.77361038549836,7.8705047283333,3.08602947515897,0.0965725746962093,0.230402682732928,"Conserved",7,7,"Conserved","Conserved"
"Acf",-0.216084909180388,6.65278830399949,0.270652924020114,0.608970541031426,0.999912223430608,-0.702581509647397,6.65278830399949,1.44070886986694,0.244940823212975,0.56696421705948,-0.918666418827784,6.65278830399949,4.9471726023027,0.0385973589076361,0.122873306118154,"Conserved",7,7,"Conserved","Conserved"
"Ack",0.112302736954098,5.81841975543115,0.334010546455918,0.570169669206144,0.999912223430608,0.0314705689393715,5.81841975543115,0.0133110585446693,0.90937320058611,0.980970068116919,0.14377330589347,5.81841975543115,0.556816795129868,0.464780806521195,0.629614472110761,"Conserved",7,7,"Conserved","Conserved"
"Acox57D-d",-0.37037915919895,3.9718150163356,0.0433292661922041,0.837526662462929,0.999912223430608,-0.0717976695546496,3.9718150163356,0.000899983982965013,0.976409121212384,0.999956004160977,-0.442176828753599,3.9718150163356,0.0778478269343651,0.78352872242122,0.874905920907445,"Conserved",7,7,"Conserved","Conserved"
"Acox57D-p",0.125919635254833,5.84971223396513,0.0800583914153223,0.78031216448233,0.999912223430608,-0.197145076009173,5.84971223396513,0.100460838640347,0.754772273606558,0.910872510472339,-0.0712254407543397,5.84971223396513,0.0269291166654371,0.87140418944793,0.928402659286541,"Conserved",7,7,"Conserved","Conserved"
"Acp95EF",0.0245162795586196,0.942168347285145,0.000105662046674087,0.991906890708885,0.999912223430608,0.51404907414024,0.942168347285145,0.139571530899872,0.712889615335942,0.888388677715859,0.538565353698859,0.942168347285145,0.293562762145487,0.594314442019726,0.734194070644978,"Conserved",7,7,"Conserved","Conserved"
"Acph-1",-0.00623616421682117,5.24409296197117,0.0010017949552674,0.975084075515966,0.999912223430608,-0.405667545084822,5.24409296197117,2.21343008912972,0.1534060397844,0.454871759338229,-0.411903709301643,5.24409296197117,4.62921991224337,0.0446577961981487,0.135982281404604,"Conserved",7,7,"Conserved","Conserved"
"Acsl",0.207490583645177,6.88253424029622,0.230616129408612,0.636611075813948,0.999912223430608,-0.955609819568826,6.88253424029622,2.46618295611486,0.133008684650407,0.42651721065708,-0.748119235923649,6.88253424029622,3.04678167623255,0.0972304547452612,0.231657926278795,"Conserved",7,7,"Conserved","Conserved"
"Act5C.Act42A.Dsim_GD10342",-0.0525372949650532,13.6545418771284,0.0743877821092691,0.788027278500585,0.999912223430608,1.54382351027935,13.6545418771284,32.0213264398681,1.94581489706195e-05,0.00142217147668243,1.4912862153143,13.6545418771284,59.2798074446363,3.17339638008456e-07,1.9341653801025e-05,"Trans only",2,2,"Trans related","Trans only"
"Act5C.Act42A.Dsim_GD16764",0.00999459405703366,14.40242606645,0.00229812494828162,0.96227097285841,0.999912223430608,1.97850204294562,14.40242606645,44.8129670665111,2.24872536447987e-06,0.000337421650089122,1.98849663700265,14.40242606645,89.2306576201367,1.4471856544218e-08,2.12052897974306e-06,"Trans only",2,2,"Trans related","Trans only"
"Ada1-1.Ada1-2",0.542954751068611,3.88776627725116,2.26246441363265,0.149167990070937,0.999912223430608,-0.417596586219888,3.88776627725116,0.683541655471819,0.418746522789845,0.70481426538495,0.125358164848724,3.88776627725116,0.125991597720747,0.726578181533008,0.833558048626929,"Conserved",7,7,"Conserved","Conserved"
"Ada3",0.0429469749295796,6.53249927984915,0.0744165885360784,0.787987298024438,0.999912223430608,0.0515471958309907,6.53249927984915,0.0539362271095592,0.818861215749545,0.943223211089704,0.0944941707605703,6.53249927984915,0.364829683491845,0.553060198570496,0.703094749062123,"Conserved",7,7,"Conserved","Conserved"
"AdamTS-A",0.00373214429945507,6.63234042863533,4.36599788666109e-05,0.994797997488157,0.999912223430608,2.73337565491667,6.63234042863533,12.7902157636004,0.00205699598074541,0.0359293172133511,2.73710779921613,6.63234042863533,24.8692868089977,8.58395629642238e-05,0.00141060341008187,"Trans only",2,2,"Trans related","Trans only"
