"logFC","logCPM","F","PValue","FDR","dmel_gene","species","tissue"
1.85571247869921,5.41634133296184,349.62911503663,1.76261242031722e-11,4.41309287631835e-08,"Adf1","*D. simulans*","Haemocytes"
5.1069606815168,6.83537023589048,327.04728777198,2.79454870676018e-11,4.41309287631835e-08,"Tdc1","*D. simulans*","Haemocytes"
2.06477394274896,8.58193801482894,304.648557995748,4.55421441866073e-11,4.41309287631835e-08,"betaggt-I","*D. simulans*","Haemocytes"
1.94425802176284,8.9293491708237,302.445062163036,4.78719054991112e-11,4.41309287631835e-08,"parvin","*D. simulans*","Haemocytes"
2.32551890840453,8.57081473307421,300.114844187344,5.04846208592722e-11,4.41309287631835e-08,"PIG-V","*D. simulans*","Haemocytes"
3.27261136648203,8.79786879496964,297.569507100351,5.35260074261316e-11,4.41309287631835e-08,"Rlb1","*D. simulans*","Haemocytes"
5.06300164333506,5.84812289143644,286.744450908113,6.90220333248981e-11,4.41309287631835e-08,"CG18155","*D. simulans*","Haemocytes"
2.17670598248897,8.91314182282131,281.588720442426,7.81605490869129e-11,4.41309287631835e-08,"CysRS","*D. simulans*","Haemocytes"
1.9866142038674,8.65804610435285,278.390678285556,8.45199939668278e-11,4.41309287631835e-08,"Ilk","*D. simulans*","Haemocytes"
-3.10886986689718,6.82041011617895,272.476773170906,9.78979618642265e-11,4.41309287631835e-08,"hoe1","*D. simulans*","Haemocytes"
2.23785862388141,7.61547239865959,270.562686035512,1.02733184180123e-10,4.41309287631835e-08,"CG4511","*D. simulans*","Haemocytes"
2.01959863582321,8.2233800884954,269.238409662742,1.06237785707907e-10,4.41309287631835e-08,"CenB1A","*D. simulans*","Haemocytes"
1.95069262933402,7.48688468431323,268.316252961703,1.08758686999315e-10,4.41309287631835e-08,"CG11178","*D. simulans*","Haemocytes"
1.99355075557665,7.8634355956135,255.862218893125,1.50445196356759e-10,5.6685600770136e-08,"Shc","*D. simulans*","Haemocytes"
1.58274328364938,7.37749344153598,252.93360605648,1.62727564669809e-10,5.72258602422163e-08,"Rep","*D. simulans*","Haemocytes"
2.83079528257582,10.6427407364313,248.08266958209,1.85673030135365e-10,6.1214077122753e-08,"Cam","*D. simulans*","Haemocytes"
2.0301213002144,8.9725325110305,243.645830439816,2.09934860095526e-10,6.26759470104449e-08,"Jra","*D. simulans*","Haemocytes"
2.63219848397661,14.3214983952217,242.728157680766,2.15392637319665e-10,6.26759470104449e-08,"Act5C.Act42A.Dsim_GD16764","*D. simulans*","Haemocytes"
2.40602915715357,9.08460857453634,241.057008675687,2.25752226198759e-10,6.26759470104449e-08,"CalpA","*D. simulans*","Haemocytes"
3.3426456243998,9.09178511034023,236.217718857759,2.59104049321135e-10,6.83386930084494e-08,"axed","*D. simulans*","Haemocytes"
-4.46155125974427,8.82945909279152,231.946054379249,2.93271073679371e-10,7.36669006504135e-08,"CG15343","*D. simulans*","Haemocytes"
2.17310307757628,9.11622994308278,222.443742109594,3.89381070521517e-10,9.25101113710419e-08,"cib","*D. simulans*","Haemocytes"
3.15907650576454,6.42174444457137,220.061751027173,4.18805136039254e-10,9.25101113710419e-08,"CG32486","*D. simulans*","Haemocytes"
2.18799245362109,6.69067950158185,219.81052869889,4.22053482361623e-10,9.25101113710419e-08,"Best1","*D. simulans*","Haemocytes"
1.61653229830135,7.80778825249076,216.554895306767,4.66854808596088e-10,9.25101113710419e-08,"Rab35","*D. simulans*","Haemocytes"
2.43374448049382,6.73972356121696,215.650031958692,4.80252574058707e-10,9.25101113710419e-08,"Ras64B","*D. simulans*","Haemocytes"
1.68612506183271,7.46778176258258,214.67506218496,4.95181090884471e-10,9.25101113710419e-08,"Klp64D","*D. simulans*","Haemocytes"
2.91410439996562,12.2112169638409,214.622992448966,4.95993123063938e-10,9.25101113710419e-08,"CD98hc","*D. simulans*","Haemocytes"
2.12316492823026,10.7027285096162,213.827692623533,5.08586394267339e-10,9.25101113710419e-08,"AnxB9","*D. simulans*","Haemocytes"
1.96283502911934,7.96184940492666,209.246917336659,5.88620644615824e-10,1.03499130011616e-07,"Ras85D","*D. simulans*","Haemocytes"
2.70941187275282,7.4727638166917,204.459875185022,6.87979177687086e-10,1.136089722726e-07,"CG11807","*D. simulans*","Haemocytes"
2.03793261735006,8.1204688969489,204.406416506774,6.89191869710561e-10,1.136089722726e-07,"Debcl","*D. simulans*","Haemocytes"
2.12891572569898,7.18861525781029,200.294342146421,7.90210519650771e-10,1.23980125502419e-07,"Ccz1","*D. simulans*","Haemocytes"
2.25792853734988,13.5272969668335,199.960979461733,7.99113605134075e-10,1.23980125502419e-07,"Act5C.Act42A.Dsim_GD10342","*D. simulans*","Haemocytes"
4.45147784159692,5.3078053509729,192.981999610984,1.01451197176036e-09,1.52901447172454e-07,"CG14106","*D. simulans*","Haemocytes"
-2.77719185509638,9.26338310333356,190.573525136141,1.10367755529458e-09,1.61719419560525e-07,"Nepl21.Nepl20.Dsim_GD21386","*D. simulans*","Haemocytes"
1.79513921836332,6.83379820277097,189.145292721783,1.16075850571593e-09,1.65486516693284e-07,"Snap24","*D. simulans*","Haemocytes"
1.86427764180018,7.97885075806868,187.521860175112,1.22976737343028e-09,1.69803162859262e-07,"vari","*D. simulans*","Haemocytes"
3.69225467005405,9.53661465506625,186.452820843918,1.27776189622714e-09,1.69803162859262e-07,"CG42675","*D. simulans*","Haemocytes"
2.9166878763578,7.35778042818642,186.239185700127,1.28760692215554e-09,1.69803162859262e-07,"Eb1","*D. simulans*","Haemocytes"
-2.96553830967248,10.0176557008182,180.899385340237,1.56415819190419e-09,2.01242303958406e-07,"Ance-5","*D. simulans*","Haemocytes"
1.77987799744438,8.69889228435765,178.45915625634,1.7126604896122e-09,2.15102001969151e-07,"Rap1","*D. simulans*","Haemocytes"
1.72159203569017,8.03790949382648,175.396448597199,1.9223184432445e-09,2.35429819979255e-07,"CG1105","*D. simulans*","Haemocytes"
1.49006485486945,9.13341099470956,174.835965218045,1.96377480172269e-09,2.35429819979255e-07,"Snx6","*D. simulans*","Haemocytes"
2.48785247223741,10.1686425463371,173.435500084417,2.07188879941146e-09,2.42871409264344e-07,"alpha-Est7","*D. simulans*","Haemocytes"
4.19156452914232,9.68056868615134,172.70504186969,2.13096095607555e-09,2.44365631376054e-07,"CG33056","*D. simulans*","Haemocytes"
4.32023663377259,5.76654008473053,171.497392451325,2.23288289525855e-09,2.50605473882742e-07,"Ekar","*D. simulans*","Haemocytes"
1.89407493012266,7.81003032594275,167.330293158798,2.6297365292552e-09,2.81963911154871e-07,"CG5346","*D. simulans*","Haemocytes"
1.60714213379639,6.93862083004459,167.185839080512,2.64487027186683e-09,2.81963911154871e-07,"Arfip","*D. simulans*","Haemocytes"
5.2824387386807,8.74488881292117,166.923170905636,2.6726437076291e-09,2.81963911154871e-07,"CG5835","*D. simulans*","Haemocytes"
1.71574710202255,5.80308181675285,166.330011842773,2.73659304865487e-09,2.83049575130479e-07,"mrj","*D. simulans*","Haemocytes"
2.03210952975278,5.54978578114757,163.578935306196,3.0569350154113e-09,3.03271982662141e-07,"Tasp1","*D. simulans*","Haemocytes"
2.41330079382247,8.13565160421349,163.497624009497,3.06703333982584e-09,3.03271982662141e-07,"RhoGAP18B","*D. simulans*","Haemocytes"
-2.35492245906654,11.9333181038086,163.094274127007,3.11769204727283e-09,3.03271982662141e-07,"Idgf6","*D. simulans*","Haemocytes"
1.96279524086487,10.1558943841931,162.746962426829,3.1620775443446e-09,3.03271982662141e-07,"mth.mthl3.mthl4.mthl2.Dsim_GD25478","*D. simulans*","Haemocytes"
3.96159521615787,6.94237950724906,162.118230061185,3.24427194344631e-09,3.0559883038713e-07,"Whamy","*D. simulans*","Haemocytes"
1.3688202831664,7.77477358906899,161.3880601474,3.34279903254157e-09,3.09355524502751e-07,"Rab6","*D. simulans*","Haemocytes"
1.29366443312776,7.4672399228921,159.893410560022,3.55530615856401e-09,3.23049967407269e-07,"Mkk4","*D. simulans*","Haemocytes"
1.44079667806221,7.67164783409654,159.503411335127,3.61326029896281e-09,3.23049967407269e-07,"Vta1","*D. simulans*","Haemocytes"
1.83537828215207,9.06947312768546,159.060447375396,3.6803948082087e-09,3.23568043555015e-07,"Arp3","*D. simulans*","Haemocytes"
1.87616228715629,9.1819918289065,158.190217718112,3.81646588840036e-09,3.30030451824785e-07,"Jupiter","*D. simulans*","Haemocytes"
1.61588648900561,7.91431450547955,155.01883314069,4.36320794503386e-09,3.71224546936349e-07,"Cds","*D. simulans*","Haemocytes"
5.1138439413304,13.9855832507033,154.210157812328,4.51655729988847e-09,3.78172059633519e-07,"alphaTub85E","*D. simulans*","Haemocytes"
2.31206309751623,7.96976743759699,153.042136644818,4.7490158382034e-09,3.91422789789421e-07,"stai","*D. simulans*","Haemocytes"
2.04951091450422,8.72631400231292,151.707416778249,5.0315123672619e-09,4.04227995771846e-07,"udt","*D. simulans*","Haemocytes"
1.47806730021715,7.14400684110694,151.51009977193,5.0748783693801e-09,4.04227995771846e-07,"Mob4","*D. simulans*","Haemocytes"
2.10592693908861,7.60055359522263,151.242959555462,5.13427027804999e-09,4.04227995771846e-07,"Pgant3","*D. simulans*","Haemocytes"
1.4787088557411,7.14993734407186,150.473085553864,5.30991153007294e-09,4.11908578251982e-07,"pll","*D. simulans*","Haemocytes"
-3.90862408933971,5.21656404987816,149.184482549589,5.61944190459346e-09,4.29602261546819e-07,"Cpr66Cb","*D. simulans*","Haemocytes"
1.91362988265367,7.71513582797993,148.134941396052,5.88679339827751e-09,4.43611931084484e-07,"sra","*D. simulans*","Haemocytes"
3.43501718472121,9.69678475051533,147.714757737561,5.9978679967975e-09,4.45616249057842e-07,"Adgf-A","*D. simulans*","Haemocytes"
3.16692360697238,9.41272617050329,146.584860172447,6.30859233536853e-09,4.5414131346934e-07,"CG8312","*D. simulans*","Haemocytes"
6.16023296236965,4.67160730661704,146.544820375264,6.31993523230275e-09,4.5414131346934e-07,"aos","*D. simulans*","Haemocytes"
1.44194342229776,9.35000653042146,146.365949196897,6.37089235956989e-09,4.5414131346934e-07,"CCT1","*D. simulans*","Haemocytes"
1.84397828839958,9.33951629328187,145.881791743417,6.51118490355984e-09,4.56529791558846e-07,"AnxB10","*D. simulans*","Haemocytes"
3.95467181914091,8.45675998519509,145.657085578327,6.57749083572935e-09,4.56529791558846e-07,"CG9801","*D. simulans*","Haemocytes"
3.91181394264698,8.98721386442553,144.422594890685,6.95577754976722e-09,4.76515929545742e-07,"Rhp","*D. simulans*","Haemocytes"
-2.21692260245468,8.63080386654811,143.948513576075,7.10759312010475e-09,4.80673765494264e-07,"Jheh2","*D. simulans*","Haemocytes"
-3.16655496084734,6.82387131365307,142.400055393978,7.63040709748192e-09,5.09498701762242e-07,"mthl10","*D. simulans*","Haemocytes"
3.18980618271819,8.86189202877215,142.039436225211,7.75837115909549e-09,5.11567598302859e-07,"stac","*D. simulans*","Haemocytes"
3.29414766830888,8.67931430307767,141.707767410569,7.87822471864727e-09,5.13057227047708e-07,"Mgat4a","*D. simulans*","Haemocytes"
-1.91558508378475,5.82227199282678,141.215675094229,8.0599575751295e-09,5.18491173278148e-07,"CG1847","*D. simulans*","Haemocytes"
3.89915629963215,6.39132203642216,139.386010731402,8.7788429564693e-09,5.57932489100911e-07,"CG33462","*D. simulans*","Haemocytes"
2.07617070627791,5.97860758200279,139.019140501292,8.9316291149451e-09,5.60885042634946e-07,"sinu","*D. simulans*","Haemocytes"
-2.13317170184332,8.38779998775816,138.5388157728,9.13626608194901e-09,5.61910651377701e-07,"CG10469","*D. simulans*","Haemocytes"
-2.6955553642173,6.4703938447785,138.481573697766,9.1610077760156e-09,5.61910651377701e-07,"alpha-Est3","*D. simulans*","Haemocytes"
2.15606391955292,7.51072855603386,136.544076909952,1.0045253325695e-08,6.09065647046449e-07,"MESK2","*D. simulans*","Haemocytes"
2.21205363688346,6.80035528081578,135.840141992099,1.03903083542551e-08,6.22828142826085e-07,"Fit2","*D. simulans*","Haemocytes"
1.37354611572579,7.329643825219,135.087063149854,1.07744920489986e-08,6.38600511892895e-07,"ric8a","*D. simulans*","Haemocytes"
1.36541358306433,10.4693144203238,134.621125976914,1.10202885628986e-08,6.45911357436557e-07,"CCT3","*D. simulans*","Haemocytes"
5.97078669359307,8.03669534447219,133.848378155558,1.14421577521733e-08,6.63267935634222e-07,"CG31220","*D. simulans*","Haemocytes"
1.13679338377324,8.52174377274252,133.039866255508,1.19033703156855e-08,6.82503026252621e-07,"Vps4","*D. simulans*","Haemocytes"
-3.00887426603714,7.45052268310651,132.373799818046,1.22992801007757e-08,6.93346980595399e-07,"CG9119.CG32335.Dsim_GD13492","*D. simulans*","Haemocytes"
2.53825694740695,8.81930298691893,132.280946575915,1.2355654768742e-08,6.93346980595399e-07,"CG7536","*D. simulans*","Haemocytes"
4.64206507707536,7.80225044094902,132.020907194439,1.2515107760803e-08,6.93346980595399e-07,"FBgn0187273","*D. simulans*","Haemocytes"
1.34667339979869,7.22445375960529,131.537410004003,1.28178557930938e-08,6.93346980595399e-07,"CG12004","*D. simulans*","Haemocytes"
2.03752849864592,8.42056334877358,131.512765946705,1.2833509076505e-08,6.93346980595399e-07,"krz","*D. simulans*","Haemocytes"
1.2991780700359,8.19583942579814,131.437990197714,1.28811382176965e-08,6.93346980595399e-07,"Wbp2","*D. simulans*","Haemocytes"
3.73569014681527,7.58654784998074,130.30132914007,1.36305268707133e-08,7.22472135565305e-07,"CG13506","*D. simulans*","Haemocytes"
1.47727400752974,6.61552486698946,130.205193239236,1.36961542287262e-08,7.22472135565305e-07,"Klp68D","*D. simulans*","Haemocytes"
1.64251240405808,4.4637256882517,129.755946161045,1.40076453027412e-08,7.31587415563957e-07,"CG2310","*D. simulans*","Haemocytes"
1.40292735611134,9.11791123804168,129.340367551795,1.43029966634412e-08,7.39689288231888e-07,"Arp2","*D. simulans*","Haemocytes"
1.62773189830431,9.55130787068588,128.355107346318,1.50320100817076e-08,7.66589411413208e-07,"Chd64","*D. simulans*","Haemocytes"
4.33168280641142,6.94695575640749,128.247975223211,1.51138007179097e-08,7.66589411413208e-07,"QC","*D. simulans*","Haemocytes"
4.58091387519745,9.57383685926903,127.732269889722,1.55146830153114e-08,7.79428122912073e-07,"Sep-04","*D. simulans*","Haemocytes"
-2.6318115326977,14.364837088008,127.467614781833,1.57251078331128e-08,7.82546639808208e-07,"PPO2","*D. simulans*","Haemocytes"
1.23030907071917,9.01875095721,126.200687416108,1.67785645496487e-08,8.25721809735924e-07,"cpb","*D. simulans*","Haemocytes"
1.54494122443242,7.68234041094804,126.053857707234,1.69057735453042e-08,8.25721809735924e-07,"CG5535","*D. simulans*","Haemocytes"
1.40848935883983,9.4423726384178,124.663762258947,1.81661457383176e-08,8.79141456602068e-07,"Rab7","*D. simulans*","Haemocytes"
1.67686513406565,8.12506201614891,123.980742062895,1.88244346575216e-08,9.02717207440242e-07,"Snx3","*D. simulans*","Haemocytes"
1.9628829491411,7.16307241609307,123.692243712867,1.91106206619357e-08,9.08184900826222e-07,"NijA","*D. simulans*","Haemocytes"
1.96321270984856,6.01321861030388,122.719122471078,2.01131527206537e-08,9.45045669331046e-07,"CG32407","*D. simulans*","Haemocytes"
2.86415359945115,11.4082310606889,122.513005909689,2.03331117270465e-08,9.45045669331046e-07,"Myo61F","*D. simulans*","Haemocytes"
-1.98513553538844,9.12178647401707,122.42882279949,2.04237357921781e-08,9.45045669331046e-07,"CG1092","*D. simulans*","Haemocytes"
-1.53020080312447,9.16887622559682,120.823712412021,2.22428654786172e-08,1.02016715122384e-06,"CG10602","*D. simulans*","Haemocytes"
-3.4512751850462,3.57658674641804,120.663794512757,2.24340074961072e-08,1.02016715122384e-06,"CG5191","*D. simulans*","Haemocytes"
2.94645821200226,9.53166898429592,120.491636658709,2.26418743642322e-08,1.02081954932756e-06,"LamC","*D. simulans*","Haemocytes"
1.14625755463972,8.46028439831303,118.777857773359,2.48353030261247e-08,1.1082401094067e-06,"Nsf2","*D. simulans*","Haemocytes"
3.16558931620576,9.57139069486042,118.655418474081,2.50010564965683e-08,1.1082401094067e-06,"AANATL2","*D. simulans*","Haemocytes"
2.00341337723436,8.5235934922014,118.252575589264,2.55553719463628e-08,1.12337155847553e-06,"FER","*D. simulans*","Haemocytes"
2.31059534344073,8.24425886894264,117.346730133423,2.68537408782883e-08,1.17068994324769e-06,"CG42663","*D. simulans*","Haemocytes"
2.18279976662444,6.01856403208457,115.68418459814,2.94372682197426e-08,1.26541606340016e-06,"Cln7","*D. simulans*","Haemocytes"
1.55739118855109,10.2338861194,115.642016920643,2.95063840375771e-08,1.26541606340016e-06,"CCT5","*D. simulans*","Haemocytes"
1.98535015525187,7.08610163316027,115.286156357624,3.00970870246724e-08,1.28033979076731e-06,"CG10383","*D. simulans*","Haemocytes"
1.82258124404911,8.21611965420013,114.901637774972,3.07505589312023e-08,1.29463957376428e-06,"vimar","*D. simulans*","Haemocytes"
1.31479010090836,5.63924378168555,114.801089706049,3.09240921884928e-08,1.29463957376428e-06,"CG11396","*D. simulans*","Haemocytes"
1.93600587168187,6.20448140649456,114.176397340109,3.20275708672999e-08,1.33027902618116e-06,"fal","*D. simulans*","Haemocytes"
1.18190180644687,8.54876097733496,114.014921259202,3.23200602468221e-08,1.33193998282802e-06,"Qsox1","*D. simulans*","Haemocytes"
-2.3174589452104,11.3453042964157,112.485277814929,3.52470675710614e-08,1.44130450726627e-06,"CG10467","*D. simulans*","Haemocytes"
1.33776219012864,8.57849171545812,111.850778994559,3.654897246487e-08,1.48304484424761e-06,"Klc","*D. simulans*","Haemocytes"
3.67769622817814,10.81063944284,111.255164380521,3.78211610213599e-08,1.52295133120362e-06,"CG9338","*D. simulans*","Haemocytes"
2.73044185353599,7.4355331165332,110.840521101025,3.87366088923775e-08,1.54410055714244e-06,"bmm","*D. simulans*","Haemocytes"
2.59658438541268,8.6335257375338,110.753544221047,3.8931824473923e-08,1.54410055714244e-06,"Fim","*D. simulans*","Haemocytes"
3.16142500888895,3.51903811942621,109.623835379846,4.15719941116925e-08,1.63650946969536e-06,"CG14995","*D. simulans*","Haemocytes"
3.63912133923042,6.435773357463,108.965209749594,4.32051320369002e-08,1.67586940176825e-06,"Lac","*D. simulans*","Haemocytes"
-3.0969563718278,5.0902339965508,108.964374501195,4.32072490313709e-08,1.67586940176825e-06,"CG17110","*D. simulans*","Haemocytes"
5.04349517346724,7.68071919311854,107.735226348364,4.64547157209769e-08,1.78867609801572e-06,"Sr-CIV","*D. simulans*","Haemocytes"
2.54365654165151,5.18510278720781,106.830324029179,4.90236277899472e-08,1.87391041008675e-06,"CG43187","*D. simulans*","Haemocytes"
1.27174236755268,7.60357334386374,106.677504447731,4.9473255803973e-08,1.87749226162559e-06,"MESR3","*D. simulans*","Haemocytes"
1.38968331161741,10.2262885233837,106.440196887176,5.01808115277592e-08,1.89071780640979e-06,"CCT2","*D. simulans*","Haemocytes"
-2.38127991623069,9.38472886221822,106.321639027056,5.05386181428966e-08,1.89071780640979e-06,"CG5397","*D. simulans*","Haemocytes"
2.67460531018144,7.56871949656347,105.2035674449,5.40598163674478e-08,2.00820796717104e-06,"JhI-21","*D. simulans*","Haemocytes"
