"","A10.HYB.wasp","A12.HYB.ctrl","A02.SEC.wasp","A04.SEC.ctrl","A06.SIM.wasp","A08.SIM.ctrl","B10.HYB.wasp","B12.HYB.ctrl","B02.SEC.wasp","B04.SEC.ctrl","B06.SIM.wasp","B08.SIM.ctrl","C01.SEC.wasp","C10.HYB.wasp","C11.HYB.ctrl","C12.HYB.ctrl","C02.SEC.wasp","C03.SEC.ctrl","C04.SEC.ctrl","C05.SIM.wasp","C06.SIM.wasp","C07.SIM.ctrl","C08.SIM.ctrl","C09.HYB.wasp","D10.HYB.wasp","D12.HYB.ctrl","D02.SEC.wasp","D04.SEC.ctrl","D06.SIM.wasp","D08.SIM.ctrl"
"128up",213.11332604308,186.803598887937,114.350909336782,216.230699301731,150.487857090139,155.557620782543,191.976412697681,199.642673918255,172.793661320515,168.465369168813,194.303107122197,177.05631341576,198.895489824422,220.340210189607,161.805209004427,168.245737971344,131.790065864,205.718181417005,162.926956599842,187.415167165551,162.575360703665,179.016390597004,184.748577457851,230.833468120289,181.188381715802,143.235422755659,178.434311606602,151.685726063584,178.738926278831,167.304474195904
"14-3-3epsilon",221.838013683616,209.28384564852,201.673421921234,185.573830021536,214.432057134262,225.172414196574,197.039526878718,212.822966953635,198.572766803115,196.973238153319,201.820786862043,202.560269918861,209.098133327254,162.112166656017,227.073261102838,200.640880065205,244.204881870266,204.060192354128,196.662786353817,195.360448566585,208.774833709382,245.640613634724,229.403446890792,190.958368102456,207.402870985323,196.021385324975,223.999408722518,169.679058364494,221.12319584885,193.10849088136
"14-3-3zeta",157.172681759647,137.782157564861,128.211625620029,150.381920906993,150.312667500978,141.877376117978,181.53373969929,181.681294193571,153.93808702467,144.475728476192,179.267747642503,161.688544753635,178.714436741899,181.697963117316,175.826672668154,150.480660048904,187.997473867133,178.935281170526,164.792532438772,169.966706049557,143.081912178045,179.711599880876,160.52404044521,172.933802635973,157.595341373234,141.666110354949,175.303885087188,159.231317028482,176.089909430705,182.146000132637
"312",11.4190764707009,7.39672635348199,14.4382461283816,15.4191354367845,13.6647879546343,13.900893772057,14.8728979067983,15.1185714229358,13.4051348509521,13.8774154679291,18.5050578211616,9.97270094031518,16.1448424660185,17.071403672348,12.9047099205985,12.5400550040753,13.6202251475168,15.1769768063382,16.323788590633,16.6695119590308,16.7643657320326,16.569154598946,15.3227493152246,15.1338332690282,11.2568100980881,10.5571925138633,13.5651815841276,11.4151247930503,14.7787255737567,15.8534481596925
"4E-T",23.8645867814647,29.586905413928,27.3749146594115,27.5730421928382,27.8551446767546,28.5740594203394,21.4127537239721,28.6865201358269,35.2068926305226,32.488212955927,24.6734104282154,26.6483648077275,32.0654510088979,26.4672925152682,30.0282673152387,31.7420142290656,37.6954118519302,27.6756635880286,33.4249004474867,32.5600747610975,31.8717883393875,31.2844177742337,25.6838464712337,27.1218697349437,28.8359381964724,32.8128956511967,29.0434015967861,29.6019337853678,32.2064679956396,24.7920944624978
"AANATL2",27.4571052216852,17.984197408466,9.00946558411012,6.34905576808775,17.6941485053598,53.3970840132983,28.2690541774607,20.4165323489219,9.72240549629494,4.73338202006883,16.5774476314572,25.8309303044229,5.60584807847865,18.7917776858404,66.0125545938306,45.3270738168139,6.71419549525475,9.94793437726372,58.6101742730348,16.2021424648523,14.132750181074,25.1434024333656,21.3059180954552,14.2836179168356,21.1257942936723,53.7846159152225,6.43476562324002,80.8732570083904,18.2642740581333,17.5399851979576
"AANATL4",20.6569810312678,45.1055273712333,10.2800312434077,21.9495927982462,9.10985863642288,12.2460254658597,26.0539417232566,36.5688522452208,3.97734770302975,6.13188125327099,5.39730853117213,9.97270094031518,10.9874622338182,30.9667322428637,37.7214597679032,27.692621467333,1.63059033456187,16.8349658692155,33.8912944072191,9.81475937774708,7.40751043973532,9.8487981881847,8.90178769741621,40.0451430882711,26.9855036598004,39.5181395451369,3.47825168823785,22.8302495861006,7.11051890812822,13.9982574176008
"Aatf",68.8993715142288,67.4407402817475,68.2640276949882,108.840956024361,36.6146241348535,19.7480951206206,59.0696654454402,66.8059950910925,90.1532146020076,120.593664647663,26.6010206179198,21.4167839865785,82.8544345999144,70.270661628037,44.6701497251485,53.4258593402791,55.4400713751035,108.40697718813,46.0175373602608,38.3242985226315,28.4604348474041,25.027534219387,30.0617748470121,77.709683190403,62.4521656126808,42.6567643465558,80.6954391671182,57.8495307308821,29.5574511475134,22.2622889051001
"aay",85.065704495221,147.209357819298,899.213968875606,122.62747712078,390.147215063726,376.648026490496,65.1875950808608,150.539621433506,907.866440510086,574.890761710178,526.044820770312,544.084405399491,757.350075402466,112.48599318989,284.275869500876,265.03928753405,1846.69151243057,601.084804103127,531.533649441661,427.643087173266,801.668070616092,319.680402367077,529.437471577476,80.7704584582964,218.197072449243,260.077864226659,1124.86659597612,318.849587439778,417.150442610189,431.416174388227
"ABCA",3.46421421021262,6.96162480327716,5.42878054427148,7.25606373495743,12.0880816521765,6.50914867104256,4.95763263559944,5.42717948515645,14.5836082444424,11.9410319142646,7.51767973984689,9.15526643701066,9.08147388713541,4.10243033986657,3.84659622633224,5.8781507831603,10.0712932428821,9.31024627615708,8.23962662193858,7.01054241267649,9.84419150543773,6.72035641076132,3.79420459234134,4.76120597227852,4.00927482945605,5.99192007543593,7.82606629853517,8.51297442193583,8.22589442312872,5.05961111479547
