"logFC","logCPM","F","PValue","FDR","dmel_gene","treatment","tissue"
-6.70112552460463,12.5088297658645,2083.59293573584,3.23486980073221e-27,1.03462567550004e-23,"Npc2g.Npc2h.Dsim_GD16847","Control","Fat Body"
4.82417570935821,7.12776331741422,2044.7179456282,4.16432149527085e-27,1.03462567550004e-23,"Trp1","Control","Fat Body"
10.4506761778528,5.15295702140822,1385.25256724839,7.59661569389018e-25,1.25825277943134e-21,"Syt1","Control","Fat Body"
3.8997467180968,5.32683022203788,1149.93973111832,9.04235185638731e-24,9.71287892008148e-21,"Rab11","Control","Fat Body"
3.935005349586,10.091015796555,1143.2251075815,9.77347446174429e-24,9.71287892008148e-21,"RpS27","Control","Fat Body"
10.2847125456506,6.41761084352271,931.403993115288,1.47448063401637e-22,1.22111571173789e-19,"CG10031","Control","Fat Body"
-6.43297302662885,6.32135843450508,903.028897929452,2.21841471152123e-22,1.57475752879271e-19,"AkhR","Control","Fat Body"
-2.91407095896185,5.48655913579086,822.962025556822,7.54175765166942e-22,4.68437422139317e-19,"Papst2","Control","Fat Body"
-4.7788058653043,8.40603592447929,810.691820543537,9.19004491221914e-22,4.91223589907221e-19,"Indy","Control","Fat Body"
9.65211421491671,6.3551086197558,806.206812419321,9.88576353204309e-22,4.91223589907221e-19,"CG15553","Control","Fat Body"
3.80898931834642,9.36601504300865,714.668252745513,4.80959063697732e-21,2.17262326137639e-18,"Cyp4p1.Cyp4p3","Control","Fat Body"
-4.33145473464749,5.98195663083955,693.941658766742,7.07068014798026e-21,2.92785080460949e-18,"CG30288","Control","Fat Body"
11.7823393891517,4.89930832046447,1963.87883389932,8.97840775403105e-21,3.43182370229079e-18,"Tpr2","Control","Fat Body"
-3.63010575834671,6.88353968619295,661.460472369933,1.32332762086532e-20,4.69686782005698e-18,"CG3700","Control","Fat Body"
3.75642507014225,6.57562392939685,643.092687149366,1.91138069704028e-20,6.33176712239542e-18,"TM9SF4","Control","Fat Body"
8.1223451314169,5.72840733098398,635.821270510081,2.21704873656438e-20,6.88532198249274e-18,"CG33458","Control","Fat Body"
2.5807185999762,9.38164310922969,631.739294156086,2.41131677152582e-20,7.04813708100695e-18,"CG7461","Control","Fat Body"
