logFC,logCPM,F,PValue,FDR,dmel_gene,species,tissue
5.629441143,3.191574138,91.94934616,4.38E-10,2.18E-06,PPO3,*D. simulans*,Fat Body
10.78289425,8.251352058,112.4423464,5.44E-09,1.20E-05,TotX,*D. simulans*,Fat Body
-2.028223849,9.471123534,67.86700263,7.27E-09,1.20E-05,CG4306.CG32196.Dsim_GD12343,*D. simulans*,Fat Body
9.777041116,1.639454673,57.845151,9.69E-08,0.000120345,TotA.TotB.Dsim_GD19384,*D. simulans*,Fat Body
-0.620630708,6.795717238,34.71845118,2.75E-06,0.002731319,CG5126,*D. simulans*,Fat Body
-1.252897836,7.931193547,33.73794903,3.43E-06,0.002843443,CG7231,*D. simulans*,Fat Body
-0.673457278,11.24385936,30.16912001,7.98E-06,0.005662133,scu,*D. simulans*,Fat Body
-1.00558261,5.306236326,28.90110276,1.09E-05,0.006774111,CG10208,*D. simulans*,Fat Body
-0.537942187,6.386404347,28.34839588,1.25E-05,0.006917317,CG8042,*D. simulans*,Fat Body
5.176118638,3.097036075,28.45673294,1.50E-05,0.006978614,CG1208,*D. simulans*,Fat Body
8.923713326,0.838484428,52.36479361,1.54E-05,0.006978614,TotM.TotF.Dsim_GD21729,*D. simulans*,Fat Body
0.623456558,3.450952184,26.56039331,1.98E-05,0.00767122,Prp3,*D. simulans*,Fat Body
-0.973071492,8.895940007,26.51348902,2.01E-05,0.00767122,CG11151,*D. simulans*,Fat Body
-0.487626409,7.524566471,25.86055492,2.38E-05,0.007983598,Prosbeta6,*D. simulans*,Fat Body
-1.045378975,11.55743062,25.65485632,2.52E-05,0.007983598,FBgn0193408,*D. simulans*,Fat Body
-0.63933368,6.123262073,25.15513482,2.88E-05,0.007983598,Herp,*D. simulans*,Fat Body
-1.176425589,3.985550396,25.03624913,2.97E-05,0.007983598,Hen1,*D. simulans*,Fat Body
-0.503672349,6.623477644,24.95117891,3.04E-05,0.007983598,CG5382,*D. simulans*,Fat Body
-0.494808957,7.468681947,24.76016243,3.20E-05,0.007983598,Prosbeta4,*D. simulans*,Fat Body
4.849004273,2.386584408,25.12843153,3.21E-05,0.007983598,ItgaPS4,*D. simulans*,Fat Body
8.77019982,9.760217881,25.27627896,3.48E-05,0.008226215,Def,*D. simulans*,Fat Body
-0.803078042,9.514869337,23.82550667,4.13E-05,0.009332033,CG6178,*D. simulans*,Fat Body
-0.880048681,6.908526538,23.20354814,4.91E-05,0.009917735,dob,*D. simulans*,Fat Body
-1.488486318,5.032175212,23.23826283,5.04E-05,0.009917735,Adk3,*D. simulans*,Fat Body
-0.541088718,7.707449192,22.92537132,5.31E-05,0.009917735,Prosbeta1,*D. simulans*,Fat Body
-0.735727079,7.758574273,22.80481854,5.49E-05,0.009917735,Gbs-76A,*D. simulans*,Fat Body
-0.494467394,8.129612468,22.7954431,5.51E-05,0.009917735,Rpn9,*D. simulans*,Fat Body
