"logFC","logCPM","F","PValue","FDR","dmel_gene","treatment","tissue"
4.91687760076327,6.76677642205205,1205.55574002492,2.95808939323396e-15,1.56039215493091e-11,"Trp1","Control","Haemocytes"
-5.2795913682702,7.16307241609307,722.891148780927,1.10216349999329e-13,2.46727707245604e-10,"NijA","Control","Haemocytes"
13.4616736810593,6.27023485611885,1108.80325745674,1.80081398115614e-13,2.46727707245604e-10,"Tpr2","Control","Haemocytes"
4.33706463269729,5.19956416867378,654.900333325136,2.20910909357395e-13,2.46727707245604e-10,"DNAlig1","Control","Haemocytes"
-4.10959354798192,7.18861525781029,649.614667043664,2.33865125351283e-13,2.46727707245604e-10,"Ccz1","Control","Haemocytes"
-2.61730636186447,6.05066722220216,597.601662151011,4.20330216126792e-13,3.41092916817608e-10,"Papst2","Control","Haemocytes"
-6.27273329660447,8.53112364859959,591.329796083387,4.5263515027929e-13,3.41092916817608e-10,"CG14688","Control","Haemocytes"
5.61237987454613,6.99990211619347,573.277715241759,5.6260351933918e-13,3.70966695564272e-10,"Nepl3","Control","Haemocytes"
11.7362035969758,5.00960534571622,1675.90743816187,8.59549568922771e-13,5.03791552896402e-10,"CG12567","Control","Haemocytes"
-2.26975357036648,7.60812197952674,526.628995124784,1.01959189544167e-12,5.27591054554583e-10,"CG4199","Control","Haemocytes"
-3.44746739860253,6.43736723027253,520.934098948736,1.10018987679629e-12,5.27591054554583e-10,"CG8379","Control","Haemocytes"
-2.47401695570328,7.14253985227236,503.868896219552,1.38876608092798e-12,6.10478423074591e-10,"Vps16A","Control","Haemocytes"
-2.50439431510524,7.22197954543059,494.420591073031,1.58519683944538e-12,6.43224102159567e-10,"Wdfy2","Control","Haemocytes"
-4.07311759080738,8.94323822835994,483.846297827389,1.84359603493856e-12,6.94640648878634e-10,"nst","Control","Haemocytes"
-3.47216238855844,8.23731959851341,459.430906308078,2.64594395082252e-12,9.30490289372587e-10,"CG17544","Control","Haemocytes"
10.3837956222814,5.21656404987816,440.6786807879,3.53754472319621e-12,1.16628427592875e-09,"Cpr66Cb","Control","Haemocytes"
4.11171727936995,6.82041011617895,432.633439972355,4.02176113336168e-12,1.2479288222637e-09,"hoe1","Control","Haemocytes"
-5.96824471052628,6.83537023589048,421.906800297007,4.78942578216247e-12,1.3732084342087e-09,"Tdc1","Control","Haemocytes"
2.58673699147286,5.70302869593318,417.430458983826,5.15819803734545e-12,1.3732084342087e-09,"Aps","Control","Haemocytes"
5.58925282176972,7.05928468135707,416.871517039828,5.20647747567279e-12,1.3732084342087e-09,"lectin-24Db","Control","Haemocytes"
6.04458513498753,10.196466300919,376.239417263128,1.06094734110851e-11,2.66499867826067e-09,"CG42566","Control","Haemocytes"
13.1836746552092,5.80544639531817,1002.12744376685,1.20765890340413e-11,2.69974791697046e-09,"spz","Control","Haemocytes"
-6.86624217605214,3.88247749550859,368.610810164946,1.22269340211137e-11,2.69974791697046e-09,"CG18130","Control","Haemocytes"
5.68322916015395,9.55098915104839,368.366424782631,1.22832132715244e-11,2.69974791697046e-09,"FBgn0268178","Control","Haemocytes"
-2.67208581246437,6.3768067133246,361.937445599092,1.38753024954395e-11,2.90531273311512e-09,"kri","Control","Haemocytes"
-3.28140257391437,6.97319692654455,360.290985432445,1.43200248456859e-11,2.90531273311512e-09,"CG11357","Control","Haemocytes"
-2.23868879028205,8.58193801482894,353.935061338919,1.6196012665162e-11,3.10912368386037e-09,"betaggt-I","Control","Haemocytes"
