"seqnames","library","treatment","count.sim","count.sec"
"BomBc1","hyb.c.1","Control",924,800
"BomBc1","hyb.c.10","Control",1506,756
"BomBc1","hyb.c.2","Control",2163,940
"BomBc1","hyb.c.4","Control",1404,747
"BomBc1","hyb.c.5","Control",1835,1005
"BomBc1","hyb.c.6","Control",1657,885
"BomBc1","hyb.c.7","Control",1639,969
"BomBc1","hyb.c.8","Control",1793,878
"BomBc1","hyb.c.9","Control",688,619
"BomBc1","hyb.gdna.1","gDNA",1943,1866
"BomBc1","hyb.gdna.2","gDNA",2019,2014
"BomBc1","hyb.gdna.3","gDNA",2064,2047
"BomBc1","hyb.w.1","Wasp",1226,1399
"BomBc1","hyb.w.10","Wasp",1335,1239
"BomBc1","hyb.w.2","Wasp",1380,601
"BomBc1","hyb.w.3","Wasp",2293,511
"BomBc1","hyb.w.4","Wasp",1194,685
"BomBc1","hyb.w.5","Wasp",1251,613
"BomBc1","hyb.w.6","Wasp",1674,760
"BomBc1","hyb.w.7","Wasp",1454,994
"BomBc1","hyb.w.8","Wasp",1225,972
"BomBc1","hyb.w.9","Wasp",1668,1271
"Indy","hyb.c.1","Control",1265,2736
"Indy","hyb.c.10","Control",1601,2331
"Indy","hyb.c.2","Control",1392,2444
"Indy","hyb.c.3","Control",1400,2680
"Indy","hyb.c.4","Control",1340,2472
"Indy","hyb.c.5","Control",1032,1770
"Indy","hyb.c.6","Control",1552,2390
"Indy","hyb.c.7","Control",1483,2136
"Indy","hyb.c.8","Control",1779,2544
"Indy","hyb.c.9","Control",1705,2551
"Indy","hyb.gdna.1","gDNA",1888,1998
"Indy","hyb.gdna.2","gDNA",1480,1522
"Indy","hyb.gdna.3","gDNA",1694,1803
"Indy","hyb.w.1","Wasp",1186,2210
"Indy","hyb.w.10","Wasp",1431,2682
"Indy","hyb.w.2","Wasp",1210,2197
"Indy","hyb.w.3","Wasp",1365,2532
"Indy","hyb.w.4","Wasp",902,1656
"Indy","hyb.w.5","Wasp",1272,2049
"Indy","hyb.w.6","Wasp",1228,2358
"Indy","hyb.w.7","Wasp",1504,2688
